tract,population,total_area_flood_1,TAFSQM,GAHSQM,LNDSQM,TTLSQM,IBuff_Pop,BWDP_Pop,WVW_Pop
36005002300,4933,0,0.315709347861472,0.0785132275638877,104441,104441,0.61382525846341,0.0841273058990472,0
36005002701,3113,0,0.24790891913685,0.107171655173244,83091,83091,0.984902023771282,0.0754898811435914,0
36005004100,6127,0,0.244215395281322,0.0476850748532184,184628,184628,0.638158968500082,0.0104455687938632,0
36005004800,3883,0,0.119396141943053,0.181258554543432,148313,148313,0.959052279165594,0,0
36005006700,6984,0,0.148189320571278,0.0689885819798772,212296,212296,0.799971363115693,0.0166093928980527,0
36005008900,3177,0,0.0976919634294483,0.0357850703736517,109487,109487,0.883223166509285,0,0
36005011900,5698,0,0.142988294698187,0.056636024304507,165566,165566,0.986837486837487,0,0
36005013000,1032,0,0.155989145884481,0.110823965197915,116085,116085,0.602713178294574,0.699612403100775,0
36005015800,1206,0,0.16174935847852,0.100758775645512,162894,162894,0.958540630182421,0.0912106135986733,0
36005016600,2166,0.00068960258335737,0.153456467179227,0.248568577329978,301623,301623,0.878578024007387,0.202677746999077,0
36005017500,6911,0,0.11682045595554,0.0250419125315169,151506,151506,0.987700766893358,0,0
36005018301,4525,0,0.0540405082697014,0.0215366019045373,67838,67838,0.677569060773481,0,0
36005021001,8521,0,0.343404664707871,0.105145739618815,192295,192295,0.856589602159371,0.23295387865274,0
36005022102,5488,0,0.0715777816927994,0.00252938363576876,79466,79466,0.895590379008746,0,0
36005022800,6218,0,0.163479806871067,0.0645796656847536,172113,172113,0.793181087166292,0.0115792859440335,0
36005025100,6802,0,0.141103202846975,0.0882706549966336,207940,207940,0.773154954425169,0,0
36005028800,3097,0,0.236499762957574,0.148117227170131,335383,335383,0.181143041653213,0.00355182434614143,0
36005031200,1524,0,0.154937976511407,0.149644911215483,202907,202907,0.862860892388451,0,0
36005033700,2357,0,0.419931319157793,0.120647033658238,432435,432435,0.69622401357658,0.248621128553246,0
36005035900,2061,0,0.0705465972574911,0.0875841163026917,126016,126016,0.932071809801067,0,0
36005038000,4585,0,0.123082285687728,0.0924639230358097,215165,215165,0.850381679389313,0,0
36005039200,1781,0,0.188136228324,0.105449965651477,96074,96074,0.831555306007861,0,0
36005039600,3756,0,0.141206370266115,0.119113039502642,223099,223099,0.9185303514377,0.0841320553780618,0
36005039901,5228,0,0.0942395710736236,0.0325748659605074,152940,152940,0.752104055087988,0,0
36005040600,3490,0,0.116364923410528,0.110863205243657,223203,223203,0.6810888252149,0.00200573065902579,0
36005042300,4100,0,0.312435464901189,0.0685411064421904,181103,181103,0.431951219512195,0,0
36005043600,2032,0,0.211480851229028,0.114543231124598,154553,154553,1,0.937992125984252,0
36005044902,1949,0,0.186364506862432,0.114803702521545,156650,156650,0.796305797845049,0.190354027706516,0
36047000100,4338,0.0741543546314003,0.207882962599944,0.0395509452113226,220374,223291,0.952282157676349,0,0.00184416781927155
36047002901,3218,0,0.278013062311277,0.0697589164262906,103657,103657,0.643567433188316,0.0323182100683654,0
36047003500,1554,0,0.14099921771573,0.0162023107473824,132944,132944,0.94015444015444,0,0
36047004900,2516,0,0.248453322663055,0.026901412785866,97467,97467,0.974165341812401,0,0
36047005602,1586,0.110943105158123,0.201248906845137,0.118284776779584,138361,163354,0.958385876418663,0,0
36047006200,2853,0,0.153908292634799,0.0576377583740319,162168,162168,0.827900455660708,0.577637574483,0
36047007800,5068,0,0.147230996609384,0.0114469527921871,138028,138028,0.896014206787688,0.0664956590370955,0
36047008600,0,0,0.434837401956464,0.298660438882524,113470,113470,,,
36047011000,2441,0,0.0705508461163481,0.0143013604968441,157957,157957,0.990167963949201,0.00491601802539943,0
36047014000,1826,0,0.139095561157911,0.0458504990879092,146367,146367,0.62486308871851,0,0
36047017200,2931,0,0.0772521572108319,0.0359607894494323,206169,206169,0.979870351415899,0.0767656090071648,0
36047018300,2500,0,0.249054486362013,0.0491302731969656,137227,137227,0.9704,0,0
36047019700,3313,0,0.280792618256381,0.0611845671592543,169716,169717,0.864473287051011,0,0
36047021000,3968,0,0.0786926796731699,0.0323695180923795,149925,149925,0.935987903225806,0.197328629032258,0
36047023500,3928,0,0.121297363008616,0.0779647600132874,141487,141488,0.965885947046843,0,0
36047024900,3823,0,0.201237544388888,0.0596384755163363,168398,168398,0.933298456709391,0,0
36047025901,2010,0,0.14408100659675,0.0517389732014815,80191,80191,1,0,0
36047027000,2449,0,0.123207992354101,0.0367286900424109,133928,133928,0.951408738260515,0.0285830951408738,0
36047027500,4180,0,0.215864823652157,0.0669831646921552,161981,161981,0,0,0
36047028200,2943,0.0136297230891825,0.127378738435267,0.0914710457676878,170994,180708,0.881073734284744,0,0
36047029300,3106,0,0.206762914696989,0.0566172041833215,164367,164367,0.468770122343851,0,0
36047030100,2750,0,0.12251662446215,0.103606942128343,194292,194292,0.932727272727273,0,0
36047034200,6502,0.872975607209057,0.170175919519974,0.141192493288255,229821,229822,0.727007074746232,0.014457090126115,0
36047035602,5271,0.999914118859498,0.202062481390715,0.0828657153981814,174644,174660,0.361032062227281,0.145702902675014,0
36047037100,4120,0,0.140046608221437,0.0952984881392117,189237,189237,0.731310679611651,0,0
36047040000,3069,0,0.130801621796275,0.0271671721751457,191886,191886,0.925057021831215,0.0707070707070707,0
36047042700,5074,0,0.0646557799569096,0.0343515293075328,148989,148989,0.919984233346472,0,0
36047043700,5240,0,0.184632608708667,0.0543857653461375,167029,167029,0.654389312977099,0,0
36047044700,2310,0,0.0257453511844497,0.0103949842471654,159019,159019,0.944155844155844,0,0
36047046400,2838,0,0.165779958219166,0.0867869591719583,168977,168977,0.853065539112051,0.889358703312192,0
36047048100,2778,0,0.0980643710693903,0.041000681140348,151217,151217,1,0,0
36047049800,4232,0,0.14917933249765,0.0304420636164212,204224,204224,0.93265595463138,0.026937618147448,0
36047050804,6250,0,0.191895957684282,0.0121026835541321,103035,103035,0.95424,0,0
36047052700,6629,0,0.0986036745406824,0.0582729658792651,190500,190501,0.995021873585759,0,0
36047053800,4473,0,0.18770801516267,0.0363490334710467,164351,164351,0.603621730382294,0,0
36047055200,3498,0,0.109548248493167,0.0222712896103121,167570,167570,0.98084619782733,0,0
36047056600,2419,0,0.18662062206874,0.0616002053340178,171428,171428,0.74286895411327,0.233980983877635,0
36047059200,3870,0.000465379421104501,0.16424699784648,0.0546912070664671,219176,219176,0.794832041343669,0.283979328165375,0
36047063800,1524,0,0.14312516173553,0.0915351217688835,139116,139116,0.828083989501312,0,0
36047067200,1422,0,0.131431327404158,0.0491367480636401,174167,174167,0.883966244725738,0.0147679324894515,0
36047067800,2660,0,0.25063208842014,0.0856509908738472,166116,166116,0.6,0.00488721804511278,0
36047072000,2167,0,0.146153894802082,0.0554385565484661,158121,158121,0.845869866174435,0,0
36047074000,3531,0,0.146394064872326,0.0519755003450656,162288,162290,0.92268479184367,0,0
36047076600,2061,0,0.251596331164504,0.0652708613524287,82533,82533,0.827268316351286,0.0252304706453178,0
36047079200,4372,0,0.0900166235685261,0.0294098633173255,216560,216560,0.472781335773102,1,0
36047079802,5451,0,0.117390854444371,0.0107710977112593,106303,106305,0.922216107136305,0.0816363969913777,0
36047082200,7280,0,0.1435152457703,0.0630449125783496,169752,169754,0.88543956043956,0.397664835164835,0
36047085000,1374,0,0.173138397243403,0.0703956381550724,144526,144526,0.807860262008734,0.163755458515284,0
36047087600,1742,0,0.0958740254988601,0.0511736230334074,142124,142124,0.615958668197474,0.479334098737084,0
36047090200,3451,0,0.152563732311166,0.0966158208406627,190445,190445,0.701825557809331,0,0
36047092000,3154,0,0.122926725513134,0.128069764968627,235075,235076,0.761255548509829,0.0431198478123018,0
36047095400,4607,0,0.208864179394308,0.056242243104278,236886,236886,0.687649229433471,0,0
36047101600,1464,0,0.345796804770593,0.0981264741222019,112355,112355,0.39207650273224,0.367486338797814,0.0307377049180328
36047111000,3216,0,0.373773872937508,0.23502663375341,123152,123152,0.275186567164179,0.122823383084577,0
36047112400,3416,0,0.150692561295332,0.0895828879412195,177746,177746,0,0,0
36047115600,4315,0,0.0839107439051106,0.0537977654680312,159765,159767,0.952723059096176,0.00903823870220162,0
36047121000,4035,0,0.366407222914072,0.263760896637609,160600,160606,0.585873605947955,0.230235439900867,0
36061001401,3005,0,0.314854048964218,0.145009416195857,93456,93456,0.885191347753744,0.0748752079866889,0
36061002201,6398,0,0.231383423184764,0.0622234051113188,161563,161563,0.86011253516724,0,0
36061003200,8234,0,0.330198392998327,0.0452176071487672,217548,217548,0.755890211318922,0.00388632499392762,0
36061004000,8651,0,0.143799760978976,0.0242499733485948,178227,178227,0.891920009247486,0,0
36061005501,4204,0,0.241084566953194,0.0512049403761569,124363,124363,0.903901046622265,0.00475737392959087,0
36061005600,3322,0,0.153964521594799,0.0192606936616066,173514,173516,0.911800120409392,0,0
36061007400,4319,0,0.0229460893357015,0.00261534835865335,173973,173973,0.919194257930076,0.206297754109748,0
36061007700,5966,0,0.19181703123775,0.00702261348745002,178566,178566,0.527489104927925,0,0
36061008200,3262,0,0.052525275975345,0.00427166885280154,172298,172298,0.950950337216432,0.240649908031882,0
36061010200,230,0,0.0390038083552304,0.00553311185451852,172778,172778,0.973913043478261,0.760869565217391,0
36061011500,2303,0,0.0319041850783956,0.00383873884633102,175839,175839,0.454190186712983,0.0521059487624837,0
36061012800,6270,0,0.158258806147234,0.0138010543871235,178682,178684,0.869377990430622,0.236842105263158,0
36061014401,4864,0,0.204814735028005,0.0241679233089186,74272,74272,0.81311677631579,0,0
36061015002,5437,0,0.140452930020559,0.0298340956539755,125494,125494,0.923671142173993,0,0
36061015802,3346,0,0.0916119507362368,0.0284393333074323,51478,51478,0.923191870890616,0,0
36061017300,8939,0,0.254643143274936,0.035492383284124,178489,178489,0.860163329231458,0,0
36061018500,4190,0,0.281498706820467,0.069693550986577,130299,130299,0.971360381861575,0.10381861575179,0
36061018600,5701,0,0.331552604111019,0.0784315337009854,121673,121673,0.750394667602175,0.119803543238028,0
36061022400,6427,0,0.299301547491173,0.0822724632914125,194573,194573,0.708262019604792,0.0415434884082776,0
